OID_,SampleBuilding,Area,PerSqFeet,lat,long,CSU_ID,NAME_ENG,NAME_CHT,FLAT_NO,DGFA,NDGFA,TOTAL,BD_STOREY,Year,Income2016,WalkDis,Lift,SDU_cat,Potential,Management,MajorEstat,Easting,Northing,dc_chi,dc_eng,SDU_IND
1531,屯門中心大廈,492,7113,22.395910000000001,113.975330000000000,1551628531P20071217,TUEN MUN CENTRE - PODIUM,屯門中心大廈 - 平台,192,8288.899999999999636,5965.699999999999818,14254.600000000000364,4,47,18080,0.2,1,0,0,1,0,815502,828524,屯門區,Tuen Mun,*
1532,華富閣,400,10250,22.252479999999998,114.139070000000004,3237212633T20050430,FORTUNA SHOPPING MALL,華富閣商場,200,9417.799999999999272,2068.400000000000091,11486.200000000000728,1,47,33710,3.000000000000000,0,0,0,1,0,0,0,南區,Southern, 
1533,太古城 翠湖台 太湖閣 (3座),484,11322,22.284600000000001,114.220540000000000,4076616194T20050430,TAI WOO MANSION,太湖閣,206,12595.299999999999272,414.000000000000000,13009.299999999999272,28,46,47210,0.3,1,0,0,0,1,840766,816194,東區,Eastern,*
1534,荃威花園 E座,441,8730,22.378730000000001,114.104560000000006,2881926616T20050430,ALLWAY GARDENS BLOCK E,荃威花園Ｅ座,380,46779.500000000000000,12341.500000000000000,59121.000000000000000,27,46,30000,2.000000000000000,1,0,0,0,1,828819,826616,荃灣區,Tsuen Wan,*
1535,太古城 高山台 恆山閣 (12座),581,15318,22.285280000000000,114.219399999999993,4065216260T20050430,TAIKOO SHING - PO SHAN MANSION,太古城 寶山閣,198,13271.700000000000728,6493.300000000000182,19765.000000000000000,32,43,47750,0.4,1,0,0,0,1,840652,816260,東區,Eastern,*
1536,美孚新邨 8期 百老匯街94-96號,906,8609,22.334790000000002,114.141120000000001,3258621748T20050430,MEI FOO SUN CHUEN STAGE VIII,美孚新邨第八期,128,107377.000000000000000,6313.100000000000364,113690.100000000005821,21,46,60000,0.3,1,0,0,0,1,832586,821748,深水埗區,Sham Shui Po,*
1537,南豐新邨 7座,570,14000,22.281590000000001,114.214280000000002,4012315865T20050430,NAM FUNG SUN CHUEN BLOCK 7,南豐新邨第7座,0,11645.000000000000000,74.200000000000003,11719.200000000000728,29,46,33000,0.5,1,0,0,0,1,840123,815865,東區,Eastern,*
1538,美孚新邨 8期 百老匯街126-128號,672,11309,22.335120000000000,114.142030000000005,3268221787T20050430,MEI FOO SUN CHUEN STAGE VIII,美孚新邨第八期,128,107377.000000000000000,6313.100000000000364,113690.100000000005821,17,46,60000,0.4,1,0,0,0,1,832682,821787,深水埗區,Sham Shui Po,*
1539,太古城 高山台 怡山閣 (16座),689,16690,22.285280000000000,114.219399999999993,4065216260T20050430,TAIKOO SHING - PO SHAN MANSION,太古城 寶山閣,198,13271.700000000000728,6493.300000000000182,19765.000000000000000,32,43,47750,0.4,1,0,0,0,1,840652,816260,東區,Eastern,*
1540,文安樓 B座,433,15011,22.276740000000000,114.176699999999997,3625115324T20050430,MAN ON HOUSE BLOCK B,文安樓B座,0,7838.500000000000000,2104.199999999999818,9942.700000000000728,22,47,21250,0.4,1,0,0,0,0,836251,815324,灣仔區,Wan Chai,*
1541,荃威花園 C座,555,7693,22.377099999999999,114.104439999999997,2880026446T20050430,ALLWAY GARDENS BLOCK C,荃威花園Ｃ座,380,46779.500000000000000,12341.500000000000000,59121.000000000000000,27,46,30000,2.000000000000000,1,0,0,0,1,828800,826446,荃灣區,Tsuen Wan,*
1542,太古城 高山台 龍山閣 (14座),529,16389,22.285280000000000,114.219399999999993,4065216260T20050430,TAIKOO SHING - PO SHAN MANSION,太古城 寶山閣,198,13271.700000000000728,6493.300000000000182,19765.000000000000000,32,43,47750,0.4,1,0,0,0,1,840652,816260,東區,Eastern,*
